aadi:0.8450980400142568:6,0.8450980400142568; 
acces:0.8450980400142568:6,0.8450980400142568; 
accesori:0.8450980400142568:6,0.8450980400142568; 
accidental:0.8450980400142568:5,0.8450980400142568; 
accin:0.6020599913279624:3,0.6020599913279624; 6,0.9645362244857886; 
acebed:0.8450980400142568:4,0.8450980400142568; 
acech:0.8450980400142568:6,1.4357962207073829; 
aceit:0.8450980400142568:6,1.5027121365481173; 
acel:0.8450980400142568:6,1.3538977586565184; 
aceler:0.8450980400142568:6,1.813688596571326; 
acent:0.8450980400142568:6,0.8450980400142568; 
acept:0.8450980400142568:6,1.8626974772987799; 
aceptarn:0.8450980400142568:6,1.0994978993353877; 
acer:0.8450980400142568:6,1.608297617977649; 
acerc:0.6020599913279624:4,0.6020599913279624; 6,1.6894886908014408; 
acercndos:0.8450980400142568:6,1.3538977586565184; 
acerqu:0.8450980400142568:6,0.8450980400142568; 
acert:0.8450980400142568:6,0.8450980400142568; 
acidez:0.8450980400142568:6,0.8450980400142568; 
aclar:0.8450980400142568:6,1.8390104579201128; 
aclaracin:0.8450980400142568:6,1.0994978993353877; 
acn:0.8450980400142568:6,1.0994978993353877; 
acobard:0.8450980400142568:6,0.8450980400142568; 
acolch:0.8450980400142568:6,0.8450980400142568; 
acomod:0.8450980400142568:6,1.6901960800285136; 
acomodndos:0.8450980400142568:6,0.8450980400142568; 
acomp:0.3424226808222063:6,0.6691769590589294; 0,0.44550217894536387; 2,0.44550217894536387; 4,0.44550217894536387; 5,0.44550217894536387; 
acompa:0.8450980400142568:5,0.8450980400142568; 
acompas:0.8450980400142568:6,0.8450980400142568; 
aconsej:0.6020599913279624:6,0.6020599913279624; 3,0.6020599913279624; 
acontec:0.47712125471966244:6,0.7047659464249274; 3,0.47712125471966244; 4,0.47712125471966244; 
acord:0.8450980400142568:6,1.8390104579201128; 
acort:0.8450980400142568:6,1.0994978993353877; 
acost:0.8450980400142568:6,1.5027121365481173; 
acostumbr:0.8450980400142568:6,1.608297617977649; 
acostumbrars:0.8450980400142568:6,1.2483122772269866; 
acostumbrart:0.8450980400142568:6,0.8450980400142568; 
acot:0.8450980400142568:6,1.2483122772269866; 
acptal:0.8450980400142568:6,0.8450980400142568; 
acrcat:0.8450980400142568:6,0.8450980400142568; 
acrecentndos:0.8450980400142568:6,0.8450980400142568; 
acta:0.8450980400142568:6,0.8450980400142568; 
actas:0.8450980400142568:6,0.8450980400142568; 
acten:0.8450980400142568:6,0.8450980400142568; 
actitud:0.8450980400142568:6,1.5027121365481173; 
activ:0.8450980400142568:6,1.8849480118086925; 
actor:0.8450980400142568:6,0.8450980400142568; 
actos:0.8450980400142568:3,0.8450980400142568; 
actu:0.8450980400142568:6,1.813688596571326; 
actuacin:0.8450980400142568:6,1.3538977586565184; 
acu:0.8450980400142568:6,0.8450980400142568; 
acud:0.47712125471966244:0,0.47712125471966244; 2,0.47712125471966244; 5,0.6207490639591157; 
acudi:0.8450980400142568:5,0.8450980400142568; 
acudir:0.8450980400142568:4,0.8450980400142568; 
acuerd:0.8450980400142568:6,1.5027121365481173; 
acuos:0.8450980400142568:6,0.8450980400142568; 
acurruc:0.8450980400142568:6,1.4357962207073829; 
acurrucndos:0.8450980400142568:6,0.8450980400142568; 
acus:0.8450980400142568:6,1.7571119958692483; 
acusart:0.8450980400142568:6,0.8450980400142568; 
acusndom:0.8450980400142568:6,0.8450980400142568; 
adam:0.8450980400142568:6,1.0994978993353877; 
adapt:0.8450980400142568:6,0.8450980400142568; 
adecu:0.8450980400142568:6,1.2483122772269866; 
adelant:0.8450980400142568:6,1.608297617977649; 
ademn:0.8450980400142568:6,0.8450980400142568; 
adems:0.8450980400142568:6,1.99589156526558; 
adentr:0.6020599913279624:5,0.6020599913279624; 6,1.5855059955287083; 
adher:0.8450980400142568:6,1.0994978993353877; 
adhes:0.8450980400142568:6,1.0994978993353877; 
adis:0.8450980400142568:6,1.0994978993353877; 
adivin:0.8450980400142568:6,1.4357962207073829; 
admir:0.8450980400142568:6,1.2483122772269866; 
admiracin:0.8450980400142568:6,1.0994978993353877; 
admit:0.8450980400142568:6,1.7571119958692483; 
admiti:0.8450980400142568:6,1.2483122772269866; 
adnde:0.8450980400142568:6,1.4357962207073829; 
adolescent:0.8450980400142568:6,1.3538977586565184; 
adolor:0.8450980400142568:6,1.5592887372501953; 
adond:0.8450980400142568:6,1.608297617977649; 
adorn:0.8450980400142568:6,0.8450980400142568; 
ados:0.8450980400142568:6,1.0994978993353877; 
adquir:0.8450980400142568:6,0.8450980400142568; 
adrenalin:0.8450980400142568:6,1.5027121365481173; 
adult:0.8450980400142568:6,1.3538977586565184; 
advertent:0.8450980400142568:6,1.4357962207073829; 
advirti:0.8450980400142568:6,1.8390104579201128; 
afan:0.8450980400142568:6,0.8450980400142568; 
aferr:0.8450980400142568:6,2.0115118551903786; 
aferrndol:0.8450980400142568:6,1.0994978993353877; 
aferrndos:0.8450980400142568:6,0.8450980400142568; 
afil:0.8450980400142568:6,1.2483122772269866; 
afirm:0.8450980400142568:6,1.99589156526558; 
afirmacin:0.8450980400142568:6,1.3538977586565184; 
aflig:0.8450980400142568:6,0.8450980400142568; 
afloj:0.8450980400142568:6,1.3538977586565184; 
aflor:0.8450980400142568:6,1.2483122772269866; 
afortun:0.6020599913279624:6,0.6020599913279624; 1,0.6020599913279624; 
afuer:0.8450980400142568:6,0.8450980400142568; 
agach:0.8450980400142568:6,1.5027121365481173; 
agall:0.8450980400142568:6,1.0994978993353877; 
agarr:0.8450980400142568:6,1.6901960800285136; 
agarrart:0.8450980400142568:6,0.8450980400142568; 
agil:0.8450980400142568:6,0.8450980400142568; 
agit:0.8450980400142568:6,1.813688596571326; 
agitacin:0.8450980400142568:6,1.2483122772269866; 
agitndos:0.8450980400142568:6,1.0994978993353877; 
agobi:0.8450980400142568:6,1.0994978993353877; 
agolp:0.8450980400142568:6,0.8450980400142568; 
agon:0.8450980400142568:6,1.2483122772269866; 
agoniz:0.8450980400142568:6,1.2483122772269866; 
agot:0.6020599913279624:6,1.4219018404717594; 2,0.7832981079068755; 
agrad:0.8450980400142568:6,1.9257702018406655; 
agradec:0.8450980400142568:6,1.3538977586565184; 
agradezc:0.8450980400142568:6,0.8450980400142568; 
agrand:0.8450980400142568:6,1.0994978993353877; 
agred:0.8450980400142568:6,0.8450980400142568; 
agreg:0.8450980400142568:6,2.1499869179433215; 
agres:0.8450980400142568:6,0.8450980400142568; 
agri:0.8450980400142568:6,0.8450980400142568; 
agriet:0.8450980400142568:6,1.4357962207073829; 
agrup:0.8450980400142568:6,1.4357962207073829; 
agu:0.6020599913279624:6,1.4539588329365711; 4,0.6020599913279624; 
aguad:0.8450980400142568:6,0.8450980400142568; 
aguant:0.8450980400142568:6,0.8450980400142568; 
aguard:0.8450980400142568:6,1.2483122772269866; 
agud:0.8450980400142568:6,1.7864893837356755; 
aguj:0.8450980400142568:6,1.8390104579201128; 
agujer:0.8450980400142568:6,1.5592887372501953; 
aguntat:0.8450980400142568:6,0.8450980400142568; 
aguz:0.8450980400142568:6,0.8450980400142568; 
ahog:0.8450980400142568:6,1.7571119958692483; 
ahogndol:0.8450980400142568:6,0.8450980400142568; 
ahorc:0.8450980400142568:6,0.8450980400142568; 
ahorrart:0.8450980400142568:6,0.8450980400142568; 
ahuec:0.8450980400142568:6,0.8450980400142568; 
ahuyent:0.8450980400142568:6,1.0994978993353877; 
air:0.6020599913279624:2,0.6020599913279624; 6,1.7238921363332782; 
aisl:0.8450980400142568:6,0.8450980400142568; 
aj:0.8450980400142568:6,0.8450980400142568; 
ajust:0.8450980400142568:6,1.3538977586565184; 
ajustndol:0.8450980400142568:6,0.8450980400142568; 
ajustndos:0.8450980400142568:6,0.8450980400142568; 
alacen:0.8450980400142568:6,0.8450980400142568; 
alambr:0.8450980400142568:6,1.4357962207073829; 
alar:0.8450980400142568:6,1.725176957126657; 
alard:0.8450980400142568:6,0.8450980400142568; 
alarg:0.8450980400142568:6,1.3538977586565184; 
alarm:0.8450980400142568:6,1.5592887372501953; 
alba:0.8450980400142568:6,0.8450980400142568; 
albail:0.8450980400142568:6,0.8450980400142568; 
alberc:0.8450980400142568:6,0.8450980400142568; 
albert:0.8450980400142568:6,0.8450980400142568; 
alborot:0.8450980400142568:6,1.5027121365481173; 
alby:0.8450980400142568:6,2.9734892343536434; 
alcald:0.8450980400142568:6,0.8450980400142568; 
alcanc:0.8450980400142568:6,1.2483122772269866; 
alcanz:0.6020599913279624:6,1.5241021748413799; 4,0.6020599913279624; 
alde:0.8450980400142568:5,0.8450980400142568; 
alegr:0.6020599913279624:6,1.4999491997846799; 2,0.6020599913279624; 
alej:0.8450980400142568:6,2.2422246951328426; 
alent:0.8450980400142568:6,1.5592887372501953; 
alentndol:0.8450980400142568:6,0.8450980400142568; 
alentndon:0.8450980400142568:6,0.8450980400142568; 
alert:0.3979400086720376:6,0.5177318877571058; 0,0.3979400086720376; 1,0.3979400086720376; 5,0.3979400086720376; 
alete:0.8450980400142568:6,0.8450980400142568; 
alfabet:0.8450980400142568:6,0.8450980400142568; 
alfiz:0.8450980400142568:6,0.8450980400142568; 
algn:0.8450980400142568:6,2.302280197857762; 
algrat:0.8450980400142568:6,0.8450980400142568; 
ali:0.8450980400142568:6,1.0994978993353877; 
alient:0.8450980400142568:6,1.608297617977649; 
aliment:0.8450980400142568:6,1.608297617977649; 
alin:0.8450980400142568:6,1.3538977586565184; 
alis:0.8450980400142568:6,0.8450980400142568; 
alivi:0.8450980400142568:6,1.905926373760847; 
aljat:0.8450980400142568:6,0.8450980400142568; 
all:0.3424226808222063:0,0.44550217894536387; 2,0.44550217894536387; 4,0.5817658635212549; 5,0.44550217894536387; 6,1.1026380440439447; 
alma:0.8450980400142568:6,1.3538977586565184; 
almacen:0.8450980400142568:6,1.3538977586565184; 
almir:0.8450980400142568:6,1.0994978993353877; 
almoh:0.8450980400142568:6,1.3538977586565184; 
almorz:0.8450980400142568:6,0.8450980400142568; 
aloj:0.8450980400142568:6,0.8450980400142568; 
alquitrn:0.8450980400142568:6,0.8450980400142568; 
alrededor:0.8450980400142568:6,1.2483122772269866; 
alta:0.8450980400142568:6,1.813688596571326; 
altas:0.8450980400142568:6,1.0994978993353877; 
alter:0.8450980400142568:6,1.6515265144397162; 
altern:0.6020599913279624:6,0.7832981079068755; 0,0.6020599913279624; 
alto:0.8450980400142568:6,1.99589156526558; 
altos:0.8450980400142568:6,1.0994978993353877; 
altsim:0.8450980400142568:6,0.8450980400142568; 
altur:0.8450980400142568:6,1.725176957126657; 
alucin:0.8450980400142568:6,1.6515265144397162; 
alucinacin:0.8450980400142568:6,1.0994978993353877; 
alumini:0.8450980400142568:6,1.0994978993353877; 
alz:0.8450980400142568:6,1.3538977586565184; 
alzab:0.8450980400142568:6,0.8450980400142568; 
alzand:0.8450980400142568:6,0.8450980400142568; 
amabil:0.8450980400142568:6,0.8450980400142568; 
amabl:0.8450980400142568:6,1.2483122772269866; 
amanec:0.8450980400142568:6,1.5027121365481173; 
amant:0.8450980400142568:6,0.8450980400142568; 
amar:0.8450980400142568:6,0.8450980400142568; 
amarg:0.8450980400142568:6,1.0994978993353877; 
amarill:0.8450980400142568:6,1.4357962207073829; 
amarillent:0.8450980400142568:6,0.8450980400142568; 
amarr:0.8450980400142568:6,0.8450980400142568; 
ambas:0.8450980400142568:6,1.7864893837356755; 
ambient:0.8450980400142568:6,1.2483122772269866; 
amenaz:0.6020599913279624:6,1.2517918429646953; 1,0.6020599913279624; 
amig:0.3979400086720376:6,1.1220093381607223; 3,0.3979400086720376; 4,0.3979400086720376; 5,0.5878056449127935; 
amiguit:0.8450980400142568:6,0.8450980400142568; 
amist:0.8450980400142568:6,1.2483122772269866; 
amn:0.8450980400142568:6,0.8450980400142568; 
amo:0.47712125471966244:1,0.7047659464249274; 2,0.6207490639591157; 4,0.47712125471966244; 
amon:0.6020599913279624:4,0.6020599913279624; 5,0.6020599913279624; 
amonton:0.8450980400142568:6,1.5592887372501953; 
amor:0.8450980400142568:6,1.2483122772269866; 
amorf:0.8450980400142568:6,0.8450980400142568; 
amortigu:0.8450980400142568:6,1.0994978993353877; 
ampli:0.8450980400142568:6,1.2483122772269866; 
amplific:0.8450980400142568:6,0.8450980400142568; 
amulet:0.8450980400142568:6,0.8450980400142568; 
an:0.8450980400142568:6,1.905926373760847; 
analiz:0.8450980400142568:6,1.608297617977649; 
analizndol:0.8450980400142568:6,0.8450980400142568; 
anaranj:0.8450980400142568:6,1.2483122772269866; 
ancho:0.8450980400142568:6,1.3538977586565184; 
ancian:0.8450980400142568:6,0.8450980400142568; 
ancianit:0.8450980400142568:6,0.8450980400142568; 
anda:0.8450980400142568:6,1.5592887372501953; 
andab:0.8450980400142568:6,1.5592887372501953; 
andad:0.8450980400142568:6,0.8450980400142568; 
andan:0.8450980400142568:6,1.608297617977649; 
andand:0.8450980400142568:6,1.0994978993353877; 
andant:0.8450980400142568:6,0.8450980400142568; 
andar:0.8450980400142568:6,1.4357962207073829; 
andars:0.8450980400142568:6,0.8450980400142568; 
andas:0.8450980400142568:6,0.8450980400142568; 
ande:0.8450980400142568:6,0.8450980400142568; 
andes:0.8450980400142568:6,1.0994978993353877; 
ando:0.8450980400142568:6,0.8450980400142568; 
andraj:0.8450980400142568:6,0.8450980400142568; 
anduin:0.47712125471966244:0,0.47712125471966244; 4,0.47712125471966244; 5,0.47712125471966244; 
anduv:0.8450980400142568:6,1.0994978993353877; 
anestesi:0.8450980400142568:6,0.8450980400142568; 
angost:0.8450980400142568:6,1.2483122772269866; 
angusti:0.8450980400142568:6,1.5027121365481173; 
anhel:0.8450980400142568:6,0.8450980400142568; 
anill:0.3979400086720376:1,0.5878056449127935; 2,0.676088138259007; 4,0.7075975239978617; 5,0.7075975239978617; 
anim:0.8450980400142568:6,1.5027121365481173; 
animal:0.8450980400142568:6,1.9257702018406655; 
aniquil:0.8450980400142568:4,0.8450980400142568; 
aniquilarn:0.8450980400142568:6,0.8450980400142568; 
anoch:0.8450980400142568:6,1.5027121365481173; 
anocheci:0.8450980400142568:6,0.8450980400142568; 
anot:0.8450980400142568:6,1.7571119958692483; 
ansi:0.8450980400142568:6,1.2483122772269866; 
ansied:0.8450980400142568:6,1.0994978993353877; 
ansios:0.8450980400142568:6,1.5592887372501953; 
antdot:0.8450980400142568:6,0.8450980400142568; 
antebraz:0.8450980400142568:6,1.0994978993353877; 
anterior:0.8450980400142568:6,1.0994978993353877; 
anticip:0.8450980400142568:6,0.8450980400142568; 
anticu:0.8450980400142568:6,0.8450980400142568; 
antigu:0.6020599913279624:6,0.9645362244857886; 4,0.6020599913279624; 
antinatural:0.8450980400142568:6,0.8450980400142568; 
antipat:0.8450980400142568:6,0.8450980400142568; 
antipt:0.8450980400142568:6,0.8450980400142568; 
anul:0.8450980400142568:2,0.8450980400142568; 
anunci:0.8450980400142568:6,1.9257702018406655; 
ao:0.6020599913279624:6,0.6020599913279624; 2,0.6020599913279624; 
aos:0.6020599913279624:5,0.7832981079068755; 6,1.566596215813751; 
apabull:0.8450980400142568:6,1.2483122772269866; 
apag:0.8450980400142568:6,1.905926373760847; 
apagndos:0.8450980400142568:6,0.8450980400142568; 
aparat:0.8450980400142568:6,1.2483122772269866; 
aparec:0.47712125471966244:6,1.207822397195573; 1,0.47712125471966244; 4,0.47712125471966244; 
apareci:0.6020599913279624:4,0.6020599913279624; 6,1.443703740826061; 
aparent:0.8450980400142568:6,1.3538977586565184; 
aparezc:0.8450980400142568:6,1.0994978993353877; 
aparicin:0.8450980400142568:6,1.0994978993353877; 
aparient:0.8450980400142568:6,0.8450980400142568; 
apart:0.6020599913279624:6,1.110859709970224; 4,0.6020599913279624; 
apasion:0.8450980400142568:6,0.8450980400142568; 
apell:0.8450980400142568:6,1.0994978993353877; 
apelmaz:0.8450980400142568:6,1.0994978993353877; 
apen:0.8450980400142568:4,0.8450980400142568; 
apesadumbr:0.8450980400142568:6,0.8450980400142568; 
apest:0.8450980400142568:6,1.2483122772269866; 
api:0.8450980400142568:6,1.3538977586565184; 
apil:0.8450980400142568:6,1.3538977586565184; 
aplac:0.8450980400142568:6,0.8450980400142568; 
aplast:0.8450980400142568:6,1.0994978993353877; 
aplaud:0.8450980400142568:6,1.4357962207073829; 
aplaudi:0.8450980400142568:6,0.8450980400142568; 
aplaus:0.8450980400142568:6,0.8450980400142568; 
apndic:0.8450980400142568:6,0.8450980400142568; 
apod:0.8450980400142568:6,1.7571119958692483; 
apoder:0.6020599913279624:6,0.7832981079068755; 2,0.6020599913279624; 
apost:0.8450980400142568:6,1.2483122772269866; 
apoy:0.6020599913279624:6,1.6498627370723764; 0,0.6020599913279624; 
apoyndos:0.8450980400142568:6,1.2483122772269866; 
aprat:0.8450980400142568:6,0.8450980400142568; 
apreci:0.8450980400142568:6,1.2483122772269866; 
aprend:0.8450980400142568:6,1.813688596571326; 
aprenders:0.8450980400142568:6,0.8450980400142568; 
aprendi:0.8450980400142568:6,0.8450980400142568; 
apres:0.8450980400142568:3,0.8450980400142568; 
apresur:0.47712125471966244:6,0.6207490639591157; 0,0.47712125471966244; 3,0.47712125471966244; 
apret:0.8450980400142568:6,2.1393478711298233; 
apretuj:0.8450980400142568:6,0.8450980400142568; 
aprobacin:0.8450980400142568:6,1.2483122772269866; 
apropi:0.8450980400142568:6,1.0994978993353877; 
aprovech:0.47712125471966244:6,0.7047659464249274; 2,0.47712125471966244; 3,0.47712125471966244; 
aprovision:0.8450980400142568:6,0.8450980400142568; 
aproxim:0.8450980400142568:6,1.5027121365481173; 
apto:0.8450980400142568:6,0.8450980400142568; 
apuest:0.8450980400142568:6,1.3538977586565184; 
apunt:0.8450980400142568:6,2.1499869179433215; 
apuntndol:0.8450980400142568:6,0.8450980400142568; 
apur:0.8450980400142568:6,1.608297617977649; 
apurndos:0.8450980400142568:6,0.8450980400142568; 
aqu:0.8450980400142568:6,2.6508364033762875; 
aquell:0.8450980400142568:6,1.7864893837356755; 
aqull:0.8450980400142568:6,0.8450980400142568; 
ara:0.6020599913279624:6,0.7832981079068755; 1,0.9645362244857886; 
araaz:0.8450980400142568:6,1.0994978993353877; 
arador:0.8450980400142568:6,1.4357962207073829; 
aragorn:0.3424226808222063:0,0.5057998199405678; 2,0.3424226808222063; 3,0.5057998199405678; 4,0.5057998199405678; 5,0.44550217894536387; 
arboled:0.8450980400142568:6,1.2483122772269866; 
arbust:0.8450980400142568:6,0.8450980400142568; 
arcad:0.8450980400142568:6,1.0994978993353877; 
arcn:0.8450980400142568:6,1.0994978993353877; 
arco:0.8450980400142568:6,1.5592887372501953; 
arcos:0.8450980400142568:6,0.8450980400142568; 
arda:0.8450980400142568:6,1.0994978993353877; 
ardid:0.8450980400142568:3,0.8450980400142568; 
ardiend:0.8450980400142568:6,0.8450980400142568; 
ardor:0.8450980400142568:6,1.0994978993353877; 
ardu:0.8450980400142568:6,0.8450980400142568; 
argoll:0.8450980400142568:6,0.8450980400142568; 
argument:0.8450980400142568:1,0.8450980400142568; 
ariet:0.8450980400142568:0,0.8450980400142568; 
arm:0.8450980400142568:6,0.8450980400142568; 
arma:0.8450980400142568:6,1.6901960800285136; 
armar:0.8450980400142568:6,1.2483122772269866; 
armari:0.8450980400142568:6,1.2483122772269866; 
armas:0.6020599913279624:6,1.4102789789022399; 5,0.6020599913279624; 
armndos:0.8450980400142568:6,0.8450980400142568; 
arnor:0.8450980400142568:5,0.8450980400142568; 
arom:0.8450980400142568:6,1.0994978993353877; 
arqu:0.8450980400142568:6,1.5027121365481173; 
arquer:0.8450980400142568:6,0.8450980400142568; 
arranc:0.8450980400142568:6,1.813688596571326; 
arrancndol:0.8450980400142568:2,0.8450980400142568; 
arras:0.8450980400142568:6,1.2483122772269866; 
arrastr:0.47712125471966244:4,0.47712125471966244; 5,0.47712125471966244; 6,1.207822397195573; 
arre:0.8450980400142568:6,0.8450980400142568; 
arrebat:0.6020599913279624:6,0.8893156098068689; 5,0.6020599913279624; 
arrebatrsel:0.8450980400142568:5,0.8450980400142568; 
arregl:0.8450980400142568:6,1.0994978993353877; 
arreglrsel:0.8450980400142568:6,0.8450980400142568; 
arrell:0.8450980400142568:6,0.8450980400142568; 
arremang:0.8450980400142568:6,0.8450980400142568; 
arremet:0.8450980400142568:6,0.8450980400142568; 
arremolin:0.8450980400142568:6,1.2483122772269866; 
arrepent:0.8450980400142568:6,1.2483122772269866; 
arrib:0.8450980400142568:6,1.0994978993353877; 
arriesg:0.8450980400142568:6,1.608297617977649; 
arriesgu:0.8450980400142568:6,0.8450980400142568; 
arrodill:0.8450980400142568:6,1.6515265144397162; 
arrodillndos:0.8450980400142568:6,0.8450980400142568; 
arroj:0.3979400086720376:2,0.3979400086720376; 3,0.3979400086720376; 4,0.3979400086720376; 6,1.047962460050878; 
arrojarn:0.8450980400142568:6,0.8450980400142568; 
arrojart:0.8450980400142568:6,1.0994978993353877; 
arrojndol:0.8450980400142568:6,1.3538977586565184; 
arrojndon:0.8450980400142568:6,0.8450980400142568; 
arrojndos:0.8450980400142568:6,1.0994978993353877; 
arrug:0.8450980400142568:6,1.7571119958692483; 
arruin:0.8450980400142568:6,1.4357962207073829; 
arrull:0.8450980400142568:6,0.8450980400142568; 
arte:0.8450980400142568:6,0.8450980400142568; 
articul:0.8450980400142568:6,1.2483122772269866; 
artificial:0.8450980400142568:6,1.0994978993353877; 
arwen:0.8450980400142568:2,0.8450980400142568; 
as:0.3010299956639812:0,0.3010299956639812; 1,0.3010299956639812; 2,0.39164905395343774; 3,0.3010299956639812; 5,0.3010299956639812; 6,0.9119353854611136; 
asalt:0.8450980400142568:6,1.5592887372501953; 
asamble:0.6020599913279624:6,1.4219018404717594; 3,0.6020599913279624; 
ascend:0.47712125471966244:6,0.6207490639591157; 1,0.47712125471966244; 2,0.47712125471966244; 
ascens:0.8450980400142568:6,0.8450980400142568; 
ascensor:0.8450980400142568:6,1.0994978993353877; 
asco:0.8450980400142568:6,1.2483122772269866; 
asegrat:0.8450980400142568:6,1.0994978993353877; 
asegrens:0.8450980400142568:6,1.0994978993353877; 
asegur:0.8450980400142568:6,1.8849480118086925; 
asegurndos:0.8450980400142568:6,0.8450980400142568; 
asemej:0.6020599913279624:6,0.6020599913279624; 1,0.6020599913279624; 
asent:0.6020599913279624:6,0.6020599913279624; 4,0.6020599913279624; 
asesin:0.8450980400142568:6,1.3538977586565184; 
asesinarn:0.8450980400142568:6,0.8450980400142568; 
asesinat:0.8450980400142568:6,1.2483122772269866; 
asever:0.8450980400142568:6,0.8450980400142568; 
asfaloth:0.8450980400142568:5,0.8450980400142568; 
asient:0.8450980400142568:6,1.8390104579201128; 
asign:0.8450980400142568:6,1.3538977586565184; 
asint:0.8450980400142568:6,0.8450980400142568; 
asinti:0.8450980400142568:6,1.9625029744629252; 
asist:0.8450980400142568:2,0.8450980400142568; 
asistent:0.8450980400142568:6,0.8450980400142568; 
asit:0.8450980400142568:6,1.0994978993353877; 
asndos:0.8450980400142568:6,0.8450980400142568; 
asoci:0.8450980400142568:6,0.8450980400142568; 
asom:0.8450980400142568:6,1.7571119958692483; 
asombr:0.8450980400142568:6,2.0934103172412435; 
asomndos:0.8450980400142568:6,0.8450980400142568; 
aspir:0.8450980400142568:6,0.8450980400142568; 
asquer:0.8450980400142568:6,1.6515265144397162; 
asta:0.8450980400142568:6,1.2483122772269866; 
astill:0.8450980400142568:6,1.0994978993353877; 
asum:0.8450980400142568:6,0.8450980400142568; 
asunt:0.8450980400142568:6,0.8450980400142568; 
asust:0.6020599913279624:0,0.6020599913279624; 6,1.3981153284491306; 
at:0.8450980400142568:6,1.2483122772269866; 
atab:0.8450980400142568:6,0.8450980400142568; 
atac:0.3010299956639812:6,0.7499745998923399; 0,0.3010299956639812; 1,0.3010299956639812; 2,0.3010299956639812; 4,0.39164905395343774; 5,0.39164905395343774; 
atad:0.8450980400142568:6,1.5027121365481173; 
atand:0.8450980400142568:6,1.0994978993353877; 
ataqu:0.47712125471966244:6,1.0086073046589275; 0,0.7047659464249274; 3,0.47712125471966244; 
atar:0.8450980400142568:6,1.3538977586565184; 
atardec:0.8450980400142568:6,1.608297617977649; 
ataron:0.8450980400142568:6,0.8450980400142568; 
atars:0.8450980400142568:6,0.8450980400142568; 
atemoriz:0.8450980400142568:6,1.5027121365481173; 
atencin:0.6020599913279624:0,0.6020599913279624; 6,1.6031399570506726; 
atent:0.8450980400142568:6,1.9445959393496444; 
aterr:0.8450980400142568:6,1.6515265144397162; 
aterriz:0.8450980400142568:6,1.6515265144397162; 
aterroriz:0.8450980400142568:6,1.7571119958692483; 
atin:0.8450980400142568:6,1.2483122772269866; 
atisb:0.8450980400142568:6,0.8450980400142568; 
atmsfer:0.8450980400142568:6,1.3538977586565184; 
atnit:0.8450980400142568:6,1.0994978993353877; 
atont:0.8450980400142568:6,1.0994978993353877; 
ator:0.8450980400142568:6,0.8450980400142568; 
atorment:0.8450980400142568:6,1.4357962207073829; 
atormentndol:0.8450980400142568:6,0.8450980400142568; 
